country,idh
"Chile",0.851
"Argentina",0.845
"Uruguay",0.817
"Peru",0.777
"Colombia",0.767
"Brazil",0.765
"Ecuador",0.759
"Paraguay",0.728
"Bolivia",0.718
"Venezuela",0.711
